droplet_id,volume,mass,ux,uy,uz,vx,vy,vz
1,7.413001e-17,7.390762e-14,1.030192e-04,-1.187192e-05,5.359986e-04,-5.150029e-01,-2.933891e-01,9.505843e+00
7,4.349459e-18,4.336410e-15,1.101835e-04,-1.795671e-05,5.462568e-04,-1.552262e+00,5.461151e-02,6.389704e+00
13,4.098096e-17,4.085802e-14,1.063079e-04,1.054369e-05,5.446423e-04,-1.243528e-01,7.336458e-01,7.640131e+00
19,2.019994e-17,2.013934e-14,1.125225e-04,-2.008112e-05,5.355637e-04,-1.171903e+00,5.223970e-01,8.034626e+00
25,2.499369e-18,2.491871e-15,1.187512e-04,-1.875106e-05,5.466466e-04,1.409745e-02,-7.940492e-02,4.859085e+00
31,1.769896e-17,1.764587e-14,1.241593e-04,-1.468987e-05,5.483763e-04,3.677544e+00,-1.757641e+00,1.018931e+01
37,2.494919e-18,2.487434e-15,1.195379e-04,1.563397e-06,5.450201e-04,4.479627e-02,4.826152e-02,-1.363597e+00
43,2.332674e-17,2.325676e-14,1.023716e-04,1.404681e-05,5.407344e-04,-6.182534e-01,-6.662739e-01,4.542408e+00
49,2.618107e-16,2.610253e-13,1.318726e-04,2.083767e-06,5.462385e-04,2.894944e-02,1.478824e+00,9.189363e+00
55,4.172976e-18,4.160457e-15,1.124998e-04,-1.052060e-09,5.297512e-04,1.301896e-02,-4.874278e-02,6.343367e+00
61,2.784149e-17,2.775797e-14,1.054915e-04,7.798613e-06,5.268644e-04,1.468008e+00,-3.902387e-01,8.814250e+00
67,1.669131e-18,1.664124e-15,1.281720e-04,-1.490190e-05,5.473962e-04,-2.713166e-01,2.066650e-01,1.036079e+00
73,2.213812e-15,2.207170e-12,1.321004e-04,-1.480832e-06,5.213417e-04,1.893048e-01,-2.071812e-01,7.501969e+00
79,2.756189e-18,2.747920e-15,1.125002e-04,-6.253548e-11,5.250897e-04,1.518615e-01,-2.133710e-01,6.741257e+00
85,2.270875e-18,2.264062e-15,1.187479e-04,2.187541e-05,5.439527e-04,-3.670867e-01,1.884763e-02,2.536003e+00
91,2.797076e-17,2.788685e-14,1.278663e-04,-8.331043e-06,5.191280e-04,-5.817126e+00,-3.145250e-01,1.362291e+01
97,4.904207e-17,4.889494e-14,1.107818e-04,-1.199893e-05,5.138007e-04,-8.099601e-01,-3.535105e-01,4.771916e+00
103,1.946785e-18,1.940945e-15,1.382733e-04,-1.249962e-05,5.317209e-04,2.865210e-02,-1.328145e-02,5.067996e+00
109,5.297419e-17,5.281527e-14,1.425327e-04,-8.844965e-06,5.332545e-04,-7.118352e-01,7.343840e-01,3.576875e+00
115,2.477792e-18,2.470358e-15,1.421903e-04,-8.593406e-06,5.451568e-04,-4.116079e-02,8.565325e-03,1.472648e+00
121,3.584054e-18,3.573302e-15,1.148468e-04,-1.797364e-05,5.163973e-04,1.302823e-01,3.176423e-02,4.382006e+00
127,3.182367e-17,3.172820e-14,1.115640e-04,1.132787e-05,5.252038e-04,4.378541e-01,-5.139033e-01,6.849429e+00
133,2.595578e-18,2.587792e-15,1.007757e-04,8.568805e-06,5.189730e-04,5.537747e-01,-2.937622e-01,7.364534e+00
139,1.968909e-17,1.963002e-14,1.367521e-04,2.797883e-06,5.406265e-04,2.257157e-01,2.525305e+00,1.220546e+01
145,2.673356e-18,2.665336e-15,1.249997e-04,9.377626e-06,5.295252e-04,2.076624e-02,-2.109963e-02,7.249265e+00
151,8.414417e-17,8.389174e-14,1.411529e-04,-6.063439e-06,5.237336e-04,1.477186e+00,3.976909e-01,1.337995e+01
157,6.576115e-19,6.556387e-16,1.399769e-04,-8.461305e-06,5.490297e-04,-1.369678e-01,-3.681305e-01,2.455622e+00
