droplet_id,volume,ux,uy,uz,vx,vy,vz
1,7.994405e-12,6.100132e-08,4.001532e-08,3.873929e-04,-2.756641e-03,7.072505e-04,4.143539e-01
2,4.444163e-17,-2.311091e-04,1.102631e-05,4.975773e-04,-3.201706e+00,-1.033342e+00,1.176827e+01
3,1.327563e-18,-2.496097e-04,1.406291e-05,4.813705e-04,-1.929765e-01,-6.804358e-02,1.879548e+00
4,1.007866e-17,-2.454812e-04,1.499610e-05,4.842214e-04,-5.884247e-02,-7.090662e-02,1.021472e+00
5,1.254974e-18,-2.496096e-04,-7.845326e-07,4.898221e-04,3.388324e-01,-1.231077e-01,2.452961e+00
6,2.534478e-18,-2.489686e-04,2.460935e-05,4.803657e-04,-1.743459e-01,1.776487e-01,2.774798e+00
7,2.989029e-18,-2.437497e-04,1.564471e-06,4.905660e-04,-5.858356e-02,-5.923881e-02,7.915062e-01
8,3.571185e-18,-2.305700e-04,2.337235e-06,4.955159e-04,4.777463e-02,5.794962e-01,3.389353e-01
9,6.266206e-18,-2.281059e-04,7.092657e-06,4.902599e-04,-2.619355e+00,-1.545338e+00,1.302739e+01
10,2.442006e-18,-2.329613e-04,1.321646e-05,4.801842e-04,5.822349e-01,2.142106e-01,6.973284e+00
11,3.157313e-18,-2.437481e-04,1.952324e-05,4.984646e-04,2.255576e-02,-9.548714e-01,6.777814e+00
12,3.047381e-18,-2.382949e-04,1.128730e-09,4.788977e-04,1.356206e-01,1.243227e-01,3.786053e+00
13,4.871456e-18,-2.265594e-04,6.874564e-06,4.834047e-04,-7.422300e-01,-1.630165e-01,8.493345e+00
14,1.546049e-17,-2.490477e-04,2.405203e-05,4.898947e-04,-7.446908e-03,-5.240127e-02,7.612119e-01
15,1.204813e-17,-2.492420e-04,2.191597e-05,4.859597e-04,9.164807e-02,6.049195e-01,2.835270e+00
16,8.379522e-19,-2.478136e-04,2.460948e-05,4.837069e-04,2.160118e-01,4.352002e-01,2.932292e+00
17,3.305049e-19,-2.496093e-04,2.460951e-05,4.832454e-04,-1.093530e-01,7.438598e-01,1.134599e+00
18,5.985011e-19,-2.480468e-04,2.460955e-05,4.859885e-04,1.273179e-01,1.506348e-01,4.024407e+00
19,2.460903e-19,-2.496093e-04,2.460964e-05,4.855888e-04,-1.148781e-01,-2.741885e-01,2.210943e+00
20,1.183413e-18,-2.242265e-04,-8.600716e-06,5.027020e-04,6.599631e-01,1.159575e-01,1.097738e+01
21,5.192136e-18,-2.375023e-04,-2.779660e-06,4.867255e-04,-2.247830e-01,3.645293e-01,7.892969e+00
22,1.247684e-18,-2.295253e-04,-1.262174e-05,4.925917e-04,-4.278757e+00,6.875344e-01,1.308163e+01
23,1.694841e-17,-2.492471e-04,-8.872887e-06,4.908820e-04,-9.440153e-03,-1.305114e-01,3.252716e+00
24,3.131206e-18,-2.460646e-04,-1.404717e-05,4.820782e-04,-1.488371e+00,9.177292e-01,3.834829e+00
25,3.098775e-18,-2.437405e-04,-7.822570e-06,4.898144e-04,1.796220e-02,-2.704133e-01,3.857255e+00
26,2.711505e-18,-2.453193e-04,-2.031253e-05,4.883182e-04,-6.180320e-02,-4.133419e-01,2.054852e+00
27,2.589165e-18,-2.461145e-04,-1.324521e-05,4.781334e-04,1.030077e-01,-6.058947e-01,4.096584e+00
28,1.934228e-18,-2.346561e-04,-1.256963e-05,5.047036e-04,-3.458954e+00,-6.836379e-01,1.661486e+01
29,4.046793e-18,-2.260636e-04,8.619978e-06,5.059466e-04,6.550669e-01,1.467348e-01,1.158280e+01
