droplet_id,volume,ux,uy,uz,vx,vy,vz
1,1.209201e-16,-5.032332e-05,-4.944286e-06,5.420717e-04,-1.096971e+00,-4.850407e-01,1.470873e+01
2,7.647662e-16,-4.635599e-05,-2.698118e-06,5.293800e-04,-6.162475e-01,2.204779e-01,9.990915e+00
3,4.427646e-17,-3.659640e-05,-9.730775e-06,5.400365e-04,4.707872e+00,-3.068930e+00,1.861852e+01
4,6.257520e-18,-3.517493e-05,-1.662100e-05,5.366034e-04,-9.460000e-01,-4.152197e-02,1.861342e+01
5,3.301601e-16,-6.395629e-05,1.730915e-06,5.417808e-04,6.064851e-01,-9.851999e-01,1.197302e+01
6,7.829926e-19,-4.284198e-05,-5.325595e-06,5.312208e-04,-1.109618e+00,-1.084385e+00,1.431095e+01
7,1.331084e-17,-3.872230e-05,-2.396003e-05,5.489909e-04,-4.137750e-01,-9.520767e+00,2.291118e+01
8,1.446681e-17,-2.418767e-05,-5.984103e-06,5.411017e-04,2.528138e-01,1.968107e-01,1.258509e+01
9,2.632009e-18,-2.579130e-05,-6.257614e-06,5.314388e-04,-1.068893e-01,-8.047378e-02,8.731982e+00
10,2.623781e-17,-3.593756e-05,-1.248927e-05,5.484085e-04,-7.860523e-01,1.004867e-01,4.188322e+00
11,2.789595e-18,-4.453123e-05,-6.246910e-06,5.478587e-04,-1.116838e-01,9.460729e-03,1.851443e+00
12,1.638845e-16,-5.316811e-05,2.233645e-06,5.259437e-04,6.354688e-01,1.547937e+00,5.733136e+00
13,7.984663e-12,4.258518e-08,8.926624e-08,3.859992e-04,6.826465e-03,1.270406e-02,-9.825994e+00
14,1.629215e-18,-4.923821e-05,-1.550876e-06,5.126671e-04,-4.866041e-01,3.349702e-01,9.090282e+00
15,4.129705e-18,-4.923051e-05,-1.574731e-06,5.067722e-04,2.851508e-01,1.351644e-01,9.042982e+00
16,9.105847e-18,-7.055229e-05,-1.570014e-05,5.375177e-04,2.072774e-01,-5.755931e+00,2.281440e+01
17,3.570020e-18,-5.468984e-05,-2.023449e-05,5.429391e-04,2.299469e-02,3.448417e-02,6.513919e+00
18,2.546907e-19,-7.460813e-05,-1.054869e-05,5.037231e-04,-2.107410e-01,5.573414e-01,8.995197e-02
19,2.073548e-18,-5.233945e-05,-1.172901e-05,5.217722e-04,5.723111e-02,1.664985e-01,-2.336121e+00
20,3.282506e-18,-7.109163e-05,-1.559909e-06,5.241110e-04,1.113414e-01,9.246725e-02,6.539729e+00
21,5.725969e-18,-7.499511e-05,-1.766256e-05,5.023015e-04,-1.149857e-01,-3.298736e-01,2.258616e+00
22,2.810085e-18,-5.234651e-05,-1.171739e-05,5.033288e-04,1.535084e-01,4.162324e-02,1.021696e+00
23,1.327218e-18,-3.828031e-05,1.872943e-05,5.379176e-04,-4.300714e-02,3.080599e-02,5.654546e+00
24,1.245228e-18,-4.138603e-05,1.641106e-05,5.342142e-04,5.707870e-01,3.242421e-01,3.956990e+00
25,2.422577e-18,-8.985058e-05,-1.485819e-05,5.353534e-04,7.087169e-03,-1.191025e-01,1.187873e+01
26,3.078059e-18,-8.750014e-05,-1.171755e-05,5.390505e-04,2.448666e-02,3.997772e-01,1.455405e+01
27,2.285696e-18,-9.687542e-05,-9.389471e-06,5.382061e-04,1.728034e-02,9.347298e-03,4.085845e+00
28,2.241976e-18,-9.296233e-05,-7.816781e-07,5.462681e-04,-1.759094e-01,5.818856e-02,1.015964e+01
29,2.689387e-18,-7.968898e-05,-1.796123e-05,5.285830e-04,3.649003e-02,-8.077177e-03,3.328620e+00
30,2.249289e-19,-9.336123e-05,-4.296223e-06,5.445106e-04,4.930831e-01,-1.064292e-01,6.292773e-02
31,1.561906e-18,-6.874930e-05,1.719147e-05,5.431248e-04,-3.769249e-02,-8.875995e-02,7.311365e+00
32,5.592315e-18,-5.374738e-05,4.688684e-06,5.474400e-04,2.123987e-01,-5.334577e-02,5.169897e+00
33,3.449882e-18,-7.271302e-05,1.178216e-05,5.320091e-04,-2.460897e-01,2.159965e-01,3.023629e+00
34,4.600312e-18,-6.874731e-05,1.719197e-05,5.393763e-04,-9.410753e-02,1.232704e-01,7.997072e+00
35,4.646428e-19,-6.171934e-05,2.148826e-05,5.438861e-04,3.283157e-01,-1.285705e+00,-2.773908e+00
36,2.149755e-17,-8.278012e-05,1.955856e-05,5.495073e-04,-2.355070e-01,2.410097e+00,1.567933e+01
37,2.295128e-17,-7.631977e-05,1.244838e-05,5.243001e-04,2.735700e-01,1.585178e+00,3.851229e+00
38,3.930072e-17,-9.099197e-05,3.209223e-06,5.276992e-04,1.961654e+00,-2.210708e-01,1.355907e+01
39,1.158536e-18,-8.201787e-05,3.124501e-06,5.422910e-04,4.094755e-01,-1.039301e-01,-5.744958e-01
40,5.252372e-18,-1.561917e-05,9.378967e-06,5.349290e-04,-2.482495e-01,-1.079137e+00,3.162648e+01
41,6.406797e-18,-2.186060e-05,1.094393e-05,5.013380e-04,1.996629e-02,-1.540738e+00,1.368592e+01
42,5.500692e-18,-1.562181e-05,9.483564e-06,5.467015e-04,-1.186960e-01,-5.792254e-02,3.590420e+01
43,4.660268e-18,-1.561281e-05,9.385320e-06,5.408876e-04,-3.410030e-01,-1.058765e+00,3.348463e+01
44,6.615841e-18,-1.562124e-05,9.373451e-06,5.269604e-04,6.649345e-01,-1.089991e+00,2.782552e+01
45,2.032361e-18,-7.812605e-06,2.042100e-05,5.249988e-04,1.320112e-02,2.275052e-01,7.027767e+00
46,1.123826e-17,-1.629031e-05,1.779462e-05,5.122868e-04,4.291426e-01,-3.047770e+00,-6.314912e-01
