droplet_id,volume,ux,uy,uz,vx,vy,vz
1,7.991626e-12,7.836492e-08,4.835537e-09,3.853581e-04,-3.023495e-03,8.786647e-04,-2.234303e-02
2,1.101853e-18,1.210936e-05,-1.999871e-04,4.737789e-04,-2.630548e+00,-2.341904e-01,-2.394729e+00
3,1.313579e-18,1.132822e-05,-2.000261e-04,4.722722e-04,-2.064920e+00,3.730830e-01,-2.092827e+00
4,3.011835e-18,7.827438e-06,-1.992353e-04,4.714730e-04,-3.034565e-01,1.374906e-01,-5.853735e+00
5,5.441899e-19,1.289092e-05,-1.999855e-04,4.757460e-04,-1.513534e+00,5.008443e-01,-1.025794e+00
6,2.871634e-18,7.806907e-06,-2.210906e-04,4.768431e-04,-5.736094e-02,-1.387959e-01,2.107248e+00
7,1.156691e-18,9.384714e-06,-2.086023e-04,4.734040e-04,3.186638e-01,-4.800010e-01,-1.651749e+00
8,2.887811e-19,9.765522e-06,-2.082030e-04,4.679369e-04,-1.336254e-01,-2.192258e+00,-8.054429e+00
9,5.068228e-19,-5.859425e-06,-2.105470e-04,4.698875e-04,9.591731e-01,-3.354457e+00,1.506333e+00
10,2.623968e-19,-5.078103e-06,-2.097657e-04,4.694971e-04,1.873351e+00,-1.671408e+00,4.896589e-01
11,2.512788e-19,-4.297072e-06,-2.089844e-04,4.694972e-04,3.091694e+00,-5.899050e-01,1.108721e+00
12,6.333255e-19,-3.906166e-07,-2.035156e-04,4.730189e-04,2.732470e-01,1.802270e+00,1.840450e-01
13,2.531021e-19,-1.914029e-05,-2.332029e-04,4.749653e-04,3.182429e+00,-5.026585e-01,-1.246308e+00
14,2.928257e-18,-3.068298e-06,-2.343329e-04,4.779674e-04,-7.306609e-01,1.677493e+00,6.650223e+00
15,4.103941e-17,-1.137205e-05,-2.439005e-04,4.782538e-04,1.669128e+00,9.920241e-02,-1.330992e-01
16,6.601707e-19,-6.640723e-06,-2.285157e-04,4.768876e-04,-2.170552e+00,1.286694e+00,2.590878e+00
17,6.980611e-19,8.984483e-06,-2.441406e-04,4.730192e-04,-3.333893e-01,9.853471e-01,2.851985e+00
18,1.471020e-18,9.765336e-06,-2.441403e-04,4.706057e-04,3.223180e-01,1.333404e+00,-1.707262e+00
19,2.875791e-18,1.093951e-05,-5.937428e-05,4.902153e-04,-1.017455e-01,-3.027415e-01,5.339081e+00
20,3.198242e-18,5.601501e-06,-6.404420e-05,4.863444e-04,8.839720e-01,4.591779e-01,1.258463e+01
21,2.892830e-18,1.389378e-05,-7.127635e-05,5.023408e-04,1.954448e-01,1.536888e+00,1.196918e+00
22,3.118420e-18,2.030122e-05,-4.999904e-05,4.816273e-04,5.336588e-01,-7.515259e-03,-2.282064e+00
23,1.225654e-17,2.425842e-05,-5.693651e-05,4.958599e-04,4.008275e-02,1.571171e-02,-1.616265e+00
