timestep_number,analysis_time,cycle_time,max_shearrate,total_volume_delivered,volumetric_flowrate
0,6.134970220728064e-08,0.1000000163912773,23918.357421875,-0.0,-0.0
1,1.2269900651062926e-07,0.1999993771314621,168940.71875,-0.0,-0.0
2,1.8404900004043162e-07,0.299999862909317,131541.625,-0.0,-0.0
3,2.453990077810886e-07,0.4000003933906555,362414.65625,-0.0,-0.0
4,3.067480065510608e-07,0.4999992549419403,717693.625,-0.0,-0.0
5,3.6809800008086313e-07,0.599999725818634,881700.625,-0.0,-0.0
6,4.294479936106655e-07,0.7000002264976501,775742.0,-0.0,-0.0
7,4.907980155621772e-07,0.800000786781311,446852.21875,-0.0,-0.0
8,5.521470143321494e-07,0.8999996185302734,579025.8125,-0.0,-0.0
9,6.134969794402423e-07,1.0000001192092896,1271093.125,-0.0,-0.0
10,6.74847001391754e-07,1.1000006198883057,1096009.5,-0.0,-0.0
11,7.361960001617263e-07,1.199999451637268,769080.25,-0.0,-0.0
12,7.97546022113238e-07,1.3000000715255735,633920.75,-0.0,-0.0
13,8.588959872213309e-07,1.4000004529953003,933225.75,-0.0,-0.0
14,9.202449859913032e-07,1.4999992847442627,2005422.75,-0.0,-0.0
15,9.815950079428148e-07,1.5999999046325684,2553654.25,-0.0,-0.0
16,1.042939970830048e-06,1.6999921798706057,2211176.25,-0.0,-0.0
17,1.1042900496249786e-06,1.7999927997589111,1046215.3125,-0.0,-0.0
18,1.1656400147330714e-06,1.8999931812286377,1732402.125,-0.0,-0.0
19,1.2269899798411643e-06,1.9999936819076536,3321191.5,-0.0,-0.0
20,1.2883399449492572e-06,2.09999418258667,2905736.75,-0.0,-0.0
21,1.3496900237441878e-06,2.199994802474976,2422296.75,-0.0,-0.0
22,1.4110399888522809e-06,2.299995183944702,1894914.75,-0.0,-0.0
23,1.4723899539603735e-06,2.3999955654144287,1727648.125,-0.0,-0.0
24,1.533740032755304e-06,2.4999961853027344,2150763.0,-0.0,-0.0
25,1.595089997863397e-06,2.59999680519104,2879641.5,-0.0,-0.0
26,1.65643996297149e-06,2.6999971866607666,4174801.25,-0.0,-0.0
27,1.7177900417664205e-06,2.7999978065490723,2506730.5,-0.0,-0.0
28,1.7791400068745131e-06,2.899998188018799,1963651.0,-0.0,-0.0
29,1.8404899719826064e-06,2.9999985694885254,6386746.5,-0.0,-0.0
30,1.9018400507775368e-06,3.099999189376831,6741256.0,-0.0,-0.0
31,1.9631900158856297e-06,3.1999998092651367,5938751.0,-0.0,-0.0
32,2.0245399809937226e-06,3.3000001907348637,4683311.0,-0.0,-0.0
33,2.0858899461018154e-06,3.40000057220459,4218950.5,-0.0,-0.0
34,2.1472399112099083e-06,3.5000009536743164,6235020.5,-0.0,-0.0
35,2.2085901036916766e-06,3.600001811981201,6741486.0,-0.0,-0.0
36,2.269940068799769e-06,3.700002193450928,7885236.0,-0.0,-0.0
37,2.3312900339078624e-06,3.8000028133392334,4698567.0,-0.0,-0.0
38,2.3926399990159557e-06,3.90000319480896,3962709.0,-0.0,-0.0
39,2.453989964124048e-06,4.000003814697266,12821110.0,-0.0,-0.0
40,2.515339929232141e-06,4.100004196166992,20378970.0,-0.0,-0.0
41,2.576689894340234e-06,4.200004577636719,12839859.0,-0.0,-0.0
42,2.638040086822002e-06,4.300005435943604,9697445.0,-0.0,-0.0
43,2.699390051930095e-06,4.40000581741333,8282434.0,-0.0,-0.0
44,2.760740017038188e-06,4.500006198883057,8063631.5,-0.0,-0.0
45,2.822089982146281e-06,4.600006580352783,9716612.0,-0.0,-0.0
46,2.8834399472543737e-06,4.70000696182251,9329863.0,-0.0,-0.0
47,2.9447899123624666e-06,4.800007343292236,8398926.0,-0.0,-0.0
48,3.006130100402516e-06,4.899991989135742,6421066.0,-0.0,-0.0
49,3.0674800655106083e-06,4.999992370605469,13321255.0,-0.0,-0.0
50,3.128830030618701e-06,5.099992752075195,24515692.0,-0.0,-0.0
51,3.190179995726794e-06,5.19999361038208,19901716.0,-0.0,-0.0
52,3.251529960834887e-06,5.299993991851807,14182063.0,-0.0,-0.0
53,3.31287992594298e-06,5.399994373321533,11192787.0,-0.0,-0.0
54,3.3742298910510726e-06,5.49999475479126,11176864.0,-0.0,-0.0
55,3.435580083532841e-06,5.5999956130981445,12098648.0,-0.0,-0.0
