timestep_number,analysis_time,cycle_time,max_shearrate,total_volume_delivered,volumetric_flowrate
0,6.134969510185329e-08,0.10000000149011612,11292.544921875,0.0,0.0
1,1.2269939020370657e-07,0.20000000298023224,53883.42578125,0.0,0.0
2,1.8404908530555986e-07,0.30000001192092896,59487.96875,0.0,0.0
3,1.9631902148375957e-07,0.3199999928474426,65914.9921875,0.0,0.0
4,2.4539878040741314e-07,0.4000000059604645,125256.90625,0.0,0.0
5,2.5766871658561286e-07,0.42000001668930054,153499.84375,0.0,0.0
6,3.067484612984117e-07,0.5,262824.375,0.0,0.0
7,3.680981706111197e-07,0.6000000238418579,292292.53125,0.0,0.0
8,4.294478515021183e-07,0.699999988079071,183160.796875,0.0,0.0
9,4.907975608148263e-07,0.800000011920929,137611.84375,0.0,0.0
10,5.521472417058249e-07,0.8999999761581421,228373.296875,0.0,0.0
11,6.134969225968234e-07,1.0,413449.4375,0.0,0.0
12,6.74846603487822e-07,1.0999999046325684,427276.84375,0.0,0.0
13,7.361963412222394e-07,1.2000000476837158,271486.75,0.0,0.0
14,7.97546022113238e-07,1.3000000715255737,191810.8125,0.0,0.0
15,8.588957030042366e-07,1.399999976158142,228826.34375,0.0,0.0
16,9.202453838952351e-07,1.5,349278.0,0.0,0.0
17,9.815951216296526e-07,1.600000023841858,379091.5625,0.0,0.0
18,1.0429447456772323e-06,1.6999999284744263,294727.71875,0.0,0.0
19,1.1042944834116497e-06,1.7999999523162842,146960.640625,0.0,0.0
20,1.1165643627464306e-06,1.8199999332427979,154415.25,0.0,0.0
21,1.1656442211460671e-06,1.9000000953674316,349645.21875,0.0,0.0
22,1.2269938451936468e-06,2.0,580846.0,0.0,0.0
23,1.2392638382152654e-06,2.0199999809265137,591543.9375,0.0,0.0
24,1.2883435829280643e-06,2.1000001430511475,534020.875,0.0,0.0
25,1.3006134622628451e-06,2.119999885559082,507811.5625,0.0,0.0
26,1.349693206975644e-06,2.1999998092651367,381919.21875,0.0,0.0
27,1.3619631999972626e-06,2.2200000286102295,359995.125,0.0,0.0
28,1.4110429447100614e-06,2.299999952316284,283635.375,0.0,0.0
29,1.42331293773168e-06,2.320000171661377,271961.5625,0.0,0.0
30,1.4723926824444789e-06,2.4000000953674316,234206.328125,0.0,0.0
31,1.4846625617792597e-06,2.4200000762939453,227453.640625,0.0,0.0
32,1.5337423064920586e-06,2.5,379280.21875,0.0,0.0
33,1.5460122995136771e-06,2.5199999809265137,420170.5,0.0,0.0
34,1.595092044226476e-06,2.6000001430511475,403577.28125,0.0,0.0
35,1.6073619235612568e-06,2.619999885559082,383828.53125,0.0,0.0
36,1.6564416682740557e-06,2.6999998092651367,320424.4375,0.0,0.0
37,1.6687116612956743e-06,2.7200000286102295,282662.46875,0.0,0.0
38,1.7177914060084731e-06,2.799999952316284,140881.75,0.0,0.0
39,1.7300613990300917e-06,2.820000171661377,156452.84375,0.0,0.0
40,1.7791411437428906e-06,2.9000000953674316,306915.625,0.0,0.0
41,1.7914110230776714e-06,2.9200000762939453,378742.71875,0.0,0.0
42,1.8404907677904703e-06,3.0,598737.8125,0.0,0.0
43,1.8527607608120888e-06,3.0199999809265137,628568.375,0.0,0.0
44,1.9018405055248877e-06,3.1000001430511475,615744.0,0.0,0.0
45,1.9141104985465063e-06,3.120000123977661,579894.25,0.0,0.0
46,1.963190243259305e-06,3.200000047683716,431708.03125,0.0,0.0
47,1.9754602362809237e-06,3.2200002670288086,409780.34375,0.0,0.0
48,2.0245399809937226e-06,3.3000001907348633,350878.8125,0.0,0.0
49,2.0368097466416657e-06,3.319999933242798,334727.84375,0.0,0.0
50,2.0858894913544646e-06,3.3999998569488525,280764.625,0.0,0.0
51,2.098159484376083e-06,3.4200000762939453,275118.34375,0.0,0.0
52,2.147239229088882e-06,3.5,433518.84375,0.0,0.0
53,2.1595092221105006e-06,3.5199999809265137,505134.0,0.0,0.0
54,2.2085889668232994e-06,3.5999999046325684,651251.3125,0.0,0.0
55,2.220858959844918e-06,3.620000123977661,648769.625,0.0,0.0
56,2.269938704557717e-06,3.700000047683716,511208.3125,0.0,0.0
57,2.2822086975793354e-06,3.7200002670288086,445599.25,0.0,0.0
58,2.3312884422921343e-06,3.8000001907348633,168723.984375,0.0,0.0
59,2.3435582079400774e-06,3.819999933242798,148137.328125,0.0,0.0
60,2.3926379526528763e-06,3.8999998569488525,443070.59375,0.0,0.0
61,2.404907945674495e-06,3.919999837875366,528626.1875,0.0,0.0
62,2.4539876903872937e-06,4.0,791192.25,0.0,0.0
63,2.515337428121711e-06,4.099999904632568,804125.4375,0.0,0.0
64,2.5766871658561286e-06,4.200000286102295,495510.5,0.0,0.0
65,2.638036903590546e-06,4.300000190734863,386753.40625,0.0,0.0
66,2.699386413951288e-06,4.399999618530273,315685.15625,0.0,0.0
67,2.7607361516857054e-06,4.5,429224.65625,0.0,0.0
68,2.822085889420123e-06,4.599999904632568,555958.9375,0.0,0.0
69,2.8834356271545403e-06,4.700000286102295,447370.75,0.0,0.0
70,2.9447853648889577e-06,4.800000190734863,168111.25,0.0,0.0
71,3.0061348752496997e-06,4.899999618530273,413591.0625,0.0,0.0
72,3.067484612984117e-06,5.0,816105.6875,0.0,0.0
73,3.1288343507185346e-06,5.099999904632568,865834.125,0.0,0.0
74,3.190184088452952e-06,5.200000286102295,636627.0,0.0,0.0
75,3.2515338261873694e-06,5.300000190734863,481845.125,0.0,0.0
76,3.3128833365481114e-06,5.399999618530273,415984.625,0.0,0.0
77,3.374233074282529e-06,5.5,677633.875,0.0,0.0
78,3.4355828120169463e-06,5.599999904632568,758877.75,0.0,0.0
79,3.4969325497513637e-06,5.700000286102295,580019.8125,0.0,0.0
80,3.558282287485781e-06,5.800000190734863,164098.171875,0.0,0.0
81,3.619631797846523e-06,5.899999618530273,450155.0625,0.0,0.0
82,3.6809815355809405e-06,6.0,915143.6875,0.0,0.0
83,3.742331273315358e-06,6.099999904632568,915687.3125,0.0,0.0
84,3.8036810110497754e-06,6.200000286102295,695241.9375,0.0,0.0
85,3.865030521410517e-06,6.299999713897705,552559.875,0.0,0.0
86,3.92638048651861e-06,6.400000095367432,467116.6875,0.0,0.0
87,3.987729996879352e-06,6.5,548548.75,0.0,0.0
88,4.049079961987445e-06,6.600000381469727,669214.25,0.0,0.0
89,4.110429472348187e-06,6.699999809265137,582940.375,0.0,0.0
90,4.171778982708929e-06,6.799999713897705,205674.0,0.0,0.0
91,4.233128947817022e-06,6.900000095367432,468745.5625,0.0,0.0
92,4.294478458177764e-06,7.0,1076386.75,0.0,0.0
93,4.355828423285857e-06,7.100000381469727,1297260.5,0.0,0.0
94,4.417177933646599e-06,7.199999809265137,1047279.6875,0.0,0.0
95,4.478527444007341e-06,7.299999713897705,794358.9375,0.0,0.0
96,4.539877409115434e-06,7.400000095367432,634881.6875,0.0,0.0
97,4.601226919476176e-06,7.5,750558.5625,0.0,0.0
98,4.6625768845842686e-06,7.600000381469727,831422.25,0.0,0.0
99,4.7239263949450105e-06,7.699999809265137,653667.0,0.0,0.0
100,4.7852759053057525e-06,7.799999713897705,266228.34375,0.0,0.0
101,4.846625870413845e-06,7.900000095367432,512246.78125,0.0,0.0
102,4.907975380774587e-06,8.0,1079738.0,0.0,0.0
103,4.96932534588268e-06,8.100000381469727,1370981.0,0.0,0.0
104,5.030674856243422e-06,8.199999809265137,1141061.125,0.0,0.0
105,5.092024366604164e-06,8.300000190734863,886373.5625,0.0,0.0
106,5.153374331712257e-06,8.40000057220459,727231.5,0.0,0.0
107,5.214723842072999e-06,8.5,744332.5625,0.0,0.0
108,5.276073807181092e-06,8.600000381469727,855362.875,0.0,0.0
109,5.337423317541834e-06,8.699999809265137,710390.3125,0.0,0.0
110,5.398772827902576e-06,8.799999237060547,252591.25,0.0,0.0
111,5.460122793010669e-06,8.90000057220459,671468.5,0.0,0.0
112,5.521472303371411e-06,9.0,1466533.75,0.0,0.0
113,5.582822268479504e-06,9.100000381469727,1769353.75,0.0,0.0
114,5.644171778840246e-06,9.199999809265137,1492165.5,0.0,0.0
115,5.705521289200988e-06,9.299999237060547,1141359.25,0.0,0.0
116,5.7668712543090805e-06,9.40000057220459,904690.5,0.0,0.0
117,5.8282207646698225e-06,9.5,887313.875,0.0,0.0
118,5.889570729777915e-06,9.600000381469727,994304.5,0.0,0.0
119,5.950920240138657e-06,9.699999809265137,845459.25,0.0,0.0
120,6.012269750499399e-06,9.799999237060547,304018.34375,0.0,0.0
121,6.073619715607492e-06,9.90000057220459,727528.0625,0.0,0.0
122,6.134969225968234e-06,10.0,1559173.25,0.0,0.0
123,6.196319191076327e-06,10.100000381469727,2027479.25,0.0,0.0
124,6.257668701437069e-06,10.199999809265137,1861970.25,0.0,0.0
125,6.319018211797811e-06,10.299999237060547,1458459.25,0.0,0.0
126,6.380368176905904e-06,10.40000057220459,1174372.375,0.0,0.0
127,6.441717687266646e-06,10.5,1074238.5,0.0,0.0
128,6.503067652374739e-06,10.600000381469727,1122579.25,0.0,0.0
129,6.564417162735481e-06,10.699999809265137,935127.75,0.0,0.0
130,6.625766673096223e-06,10.799999237060547,407304.96875,0.0,0.0
131,6.687116638204316e-06,10.90000057220459,822644.125,0.0,0.0
132,6.748466148565058e-06,11.0,1855724.5,0.0,0.0
133,6.8098161136731505e-06,11.100000381469727,2362057.75,0.0,0.0
134,6.8711656240338925e-06,11.199999809265137,2191042.25,0.0,0.0
135,6.9325151343946345e-06,11.299999237060547,1752843.0,0.0,0.0
136,6.993865099502727e-06,11.40000057220459,1432258.75,0.0,0.0
137,7.055214609863469e-06,11.5,1304654.875,0.0,0.0
138,7.116564574971562e-06,11.600000381469727,1362533.25,0.0,0.0
139,7.177914085332304e-06,11.699999809265137,1148986.25,0.0,0.0
140,7.239263595693046e-06,11.799999237060547,592984.375,0.0,0.0
141,7.300613560801139e-06,11.90000057220459,1134593.625,0.0,0.0
142,7.361963071161881e-06,12.0,2443707.5,0.0,0.0
143,7.423313036269974e-06,12.100000381469727,3019075.0,0.0,0.0
144,7.484662546630716e-06,12.199999809265137,2855554.5,0.0,0.0
145,7.546012056991458e-06,12.299999237060547,2273427.0,0.0,0.0
146,7.607362022099551e-06,12.40000057220459,1825883.5,0.0,0.0
147,7.668711987207644e-06,12.500000953674316,1721064.75,0.0,0.0
148,7.730061042821035e-06,12.59999942779541,1905046.875,0.0,0.0
149,7.791411007929128e-06,12.699999809265137,2060441.25,0.0,0.0
150,7.85276097303722e-06,12.800000190734863,1041375.5,0.0,0.0
151,7.914110028650612e-06,12.899999618530273,1397414.25,0.0,0.0
152,7.975459993758705e-06,13.0,3644580.75,0.0,0.0
153,8.036809958866797e-06,13.100000381469727,4130151.5,0.0,0.0
154,8.09815992397489e-06,13.200000762939453,3667584.75,0.0,0.0
155,8.159508979588281e-06,13.299999237060547,2855218.25,0.0,0.0
156,8.220858944696374e-06,13.399999618530273,2262159.0,0.0,0.0
157,8.282208909804467e-06,13.500000953674316,2113496.0,0.0,0.0
158,8.343557965417858e-06,13.59999942779541,2413647.75,0.0,0.0
159,8.404907930525951e-06,13.699999809265137,2753185.0,0.0,0.0
160,8.466257895634044e-06,13.800000190734863,1370395.125,0.0,0.0
161,8.527606951247435e-06,13.899999618530273,1797466.5,0.0,0.0
162,8.588956916355528e-06,14.0,4925852.0,0.0,0.0
163,8.601226909377147e-06,14.019999504089355,4917820.0,0.0,0.0
164,8.65030688146362e-06,14.100000381469727,5239164.0,0.0,0.0
165,8.66257687448524e-06,14.119999885559082,5240367.5,0.0,0.0
166,8.711656846571714e-06,14.200000762939453,4746204.5,0.0,0.0
167,8.72392593009863e-06,14.219999313354492,4540591.5,0.0,0.0
168,8.773005902185105e-06,14.299999237060547,3674866.5,0.0,0.0
169,8.785275895206723e-06,14.319999694824219,3507370.0,0.0,0.0
170,8.834355867293198e-06,14.399999618530273,2973436.5,0.0,0.0
171,8.846625860314816e-06,14.420000076293945,2876559.25,0.0,0.0
172,8.89570583240129e-06,14.500000953674316,2704198.25,0.0,0.0
173,8.907975825422909e-06,14.520000457763672,2747899.5,0.0,0.0
174,8.957054888014682e-06,14.59999942779541,3601980.75,0.0,0.0
175,8.9693248810363e-06,14.619999885559082,3575401.75,0.0,0.0
176,9.018404853122775e-06,14.699999809265137,2891390.75,0.0,0.0
177,9.030674846144393e-06,14.720000267028809,2664251.75,0.0,0.0
178,9.079754818230867e-06,14.800000190734863,1478441.5,0.0,0.0
179,9.092024811252486e-06,14.820000648498535,1197206.5,0.0,0.0
180,9.141103873844258e-06,14.899999618530273,1517358.25,0.0,0.0
181,9.153373866865877e-06,14.919999122619629,2039007.25,0.0,0.0
182,9.202453838952351e-06,15.0,4411214.0,0.0,0.0
183,9.21472383197397e-06,15.019999504089355,4849536.0,0.0,0.0
184,9.263803804060444e-06,15.100000381469727,6135462.5,0.0,0.0
185,9.276073797082063e-06,15.119999885559082,6164402.0,0.0,0.0
186,9.325153769168537e-06,15.200000762939453,5542021.5,0.0,0.0
187,9.337423762190156e-06,15.220000267028809,5303774.0,0.0,0.0
188,9.386502824781928e-06,15.299999237060547,4310666.5,0.0,0.0
189,9.398772817803547e-06,15.319999694824219,4121536.75,0.0,0.0
190,9.447852789890021e-06,15.399999618530273,3531487.0,0.0,0.0
191,9.46012278291164e-06,15.420000076293945,3455448.25,0.0,0.0
192,9.509202754998114e-06,15.500000953674316,3925627.25,0.0,0.0
193,9.521472748019733e-06,15.520000457763672,4085638.0,0.0,0.0
194,9.570551810611505e-06,15.59999942779541,3863027.0,0.0,0.0
195,9.582821803633124e-06,15.619999885559082,3794458.0,0.0,0.0
196,9.631901775719598e-06,15.699999809265137,3365077.5,0.0,0.0
197,9.644171768741217e-06,15.720000267028809,3047459.0,0.0,0.0
198,9.69325174082769e-06,15.800000190734863,1986941.0,0.0,0.0
199,9.70552173384931e-06,15.820000648498535,1660440.25,0.0,0.0
200,9.754600796441082e-06,15.899999618530273,1944622.875,0.0,0.0
201,9.7668707894627e-06,15.919999122619629,2713038.75,0.0,0.0
202,9.815950761549175e-06,16.0,5558571.5,0.0,0.0
203,9.828220754570793e-06,16.020000457763672,6191331.0,0.0,0.0
204,9.877300726657268e-06,16.100000381469727,8931391.0,0.0,0.0
205,9.889570719678886e-06,16.1200008392334,8974424.0,0.0,0.0
206,9.93865069176536e-06,16.200000762939453,7305215.0,0.0,0.0
207,9.950920684786979e-06,16.220001220703125,6998612.0,0.0,0.0
208,9.999999747378752e-06,16.299999237060547,5673851.0,0.0,0.0
209,1.001226974040037e-05,16.31999969482422,5389041.0,0.0,0.0
210,1.0061349712486845e-05,16.399999618530273,4469789.5,0.0,0.0
211,1.0073619705508463e-05,16.420000076293945,4289530.0,0.0,0.0
212,1.0122699677594937e-05,16.5,3852049.25,0.0,0.0
213,1.0134969670616556e-05,16.520000457763672,4230212.5,0.0,0.0
214,1.0184048733208328e-05,16.600000381469727,4009238.5,0.0,0.0
215,1.0196318726229947e-05,16.619998931884766,3976664.75,0.0,0.0
216,1.0245398698316421e-05,16.700000762939453,3270342.5,0.0,0.0
217,1.025766869133804e-05,16.719999313354492,2993163.25,0.0,0.0
218,1.0306748663424514e-05,16.80000114440918,2098594.5,0.0,0.0
219,1.0319018656446133e-05,16.81999969482422,1804223.25,0.0,0.0
220,1.0368097719037905e-05,16.899999618530273,1934679.125,0.0,0.0
221,1.0380367712059524e-05,16.920000076293945,2531051.0,0.0,0.0
222,1.0429447684145998e-05,17.0,5180352.0,0.0,0.0
223,1.0441717677167617e-05,17.020000457763672,5749191.5,0.0,0.0
224,1.0490797649254091e-05,17.100000381469727,8451126.0,0.0,0.0
225,1.050306764227571e-05,17.1200008392334,8710269.0,0.0,0.0
226,1.0552147614362184e-05,17.200000762939453,7498505.5,0.0,0.0
227,1.0564417607383803e-05,17.220001220703125,7281281.0,0.0,0.0
228,1.0613496669975575e-05,17.299999237060547,6773492.5,0.0,0.0
229,1.0625766662997194e-05,17.31999969482422,6570202.0,0.0,0.0
230,1.0674846635083668e-05,17.399999618530273,5519776.5,0.0,0.0
231,1.0687116628105287e-05,17.420000076293945,5301541.5,0.0,0.0
232,1.073619660019176e-05,17.5,5261007.0,0.0,0.0
233,1.074846659321338e-05,17.520000457763672,4897357.0,0.0,0.0
234,1.0797545655805152e-05,17.599998474121094,4447080.5,0.0,0.0
235,1.080981564882677e-05,17.619998931884766,4392119.0,0.0,0.0
236,1.0858895620913245e-05,17.700000762939453,4210873.0,0.0,0.0
237,1.0871165613934863e-05,17.719999313354492,4149478.75,0.0,0.0
238,1.0920245586021338e-05,17.80000114440918,2537822.0,0.0,0.0
239,1.0932515579042956e-05,17.81999969482422,2144497.5,0.0,0.0
240,1.0981594641634729e-05,17.899999618530273,2141918.0,0.0,0.0
241,1.0993864634656347e-05,17.920000076293945,2897245.0,0.0,0.0
242,1.1042944606742822e-05,18.0,6964121.0,0.0,0.0
243,1.105521459976444e-05,18.020000457763672,8167212.5,0.0,0.0
244,1.1104294571850915e-05,18.100000381469727,9527628.0,0.0,0.0
245,1.1116564564872533e-05,18.1200008392334,9674760.0,0.0,0.0
246,1.1165644536959007e-05,18.200000762939453,9838560.0,0.0,0.0
247,1.1177914529980626e-05,18.220001220703125,9349655.0,0.0,0.0
248,1.1226993592572398e-05,18.299999237060547,7583269.0,0.0,0.0
249,1.1239263585594017e-05,18.31999969482422,7234921.5,0.0,0.0
250,1.1288343557680491e-05,18.399999618530273,6114970.0,0.0,0.0
251,1.130061355070211e-05,18.420000076293945,5893761.0,0.0,0.0
252,1.1349693522788584e-05,18.5,5167884.5,0.0,0.0
253,1.1361963515810203e-05,18.520000457763672,5038900.5,0.0,0.0
254,1.1411042578401975e-05,18.599998474121094,4602306.0,0.0,0.0
255,1.1423312571423594e-05,18.619998931884766,4500460.0,0.0,0.0
256,1.1472392543510068e-05,18.700000762939453,4379448.5,0.0,0.0
257,1.1484662536531687e-05,18.719999313354492,4252734.5,0.0,0.0
258,1.1533742508618161e-05,18.80000114440918,2842452.75,0.0,0.0
259,1.154601250163978e-05,18.81999969482422,2566025.25,0.0,0.0
260,1.1595092473726254e-05,18.900001525878906,2524007.0,0.0,0.0
261,1.160736155725317e-05,18.920000076293945,3182583.5,0.0,0.0
262,1.1656441529339645e-05,19.0,6441357.0,0.0,0.0
263,1.1668711522361264e-05,19.020000457763672,7952973.0,0.0,0.0
264,1.1717791494447738e-05,19.100000381469727,10595540.0,0.0,0.0
265,1.1730061487469357e-05,19.1200008392334,10242412.0,0.0,0.0
266,1.177914145955583e-05,19.200000762939453,12367469.0,0.0,0.0
267,1.179141145257745e-05,19.220001220703125,11298381.0,0.0,0.0
268,1.1840490515169222e-05,19.299999237060547,8997142.0,0.0,0.0
269,1.185276050819084e-05,19.31999969482422,8656912.0,0.0,0.0
