timestep_number,analysis_time,cycle_time,total_volume_delivered,volumetric_flowrate
0,6.500000182541044e-08,0.1059500053524971,0.0,0.0
1,1.2499999968440534e-07,0.20374999940395355,0.0,0.0
2,1.850000046488276e-07,0.3015500009059906,0.0,0.0
3,2.650000112680573e-07,0.43195003271102905,0.0,0.0
4,3.250000020216248e-07,0.5297499895095825,0.0,0.0
5,3.8499999277519237e-07,0.6275500059127808,0.0,0.0
6,4.4500001195046934e-07,0.725350022315979,0.0,0.0
7,5.050000027040369e-07,0.8231499791145325,0.0,0.0
8,5.649999934576044e-07,0.9209499955177307,0.0,0.0
9,6.24999984211172e-07,1.0187499523162842,0.0,0.0
10,6.849999749647395e-07,1.1165499687194824,0.0,0.0
11,7.450000225617259e-07,1.2143499851226807,0.0,0.0
12,8.050000133152935e-07,1.312150001525879,0.0,0.0
13,8.65000004068861e-07,1.4099500179290771,0.0,0.0
14,9.249999948224286e-07,1.5077500343322754,0.0,0.0
15,9.85000042419415e-07,1.6055500507354736,0.0,0.0
16,1.0449999763295637e-06,1.7033499479293823,0.0,0.0
17,1.10500002392655e-06,1.8011500835418701,0.0,0.0
18,1.1849999737023609e-06,1.9315499067306519,0.0,0.0
19,1.2450000212993473e-06,2.0293500423431396,0.0,0.0
20,1.304999955209496e-06,2.127149820327759,0.0,0.0
21,1.3650000028064824e-06,2.224950075149536,0.0,0.0
22,1.4250000504034688e-06,2.3227500915527344,0.0,0.0
23,1.4849999843136175e-06,2.4205498695373535,0.0,0.0
24,1.5450000319106039e-06,2.518350124359131,0.0,0.0
25,1.6049999658207525e-06,2.61614990234375,0.0,0.0
26,1.665000013417739e-06,2.7139499187469482,0.0,0.0
27,1.7249999473278876e-06,2.8117499351501465,0.0,0.0
28,1.784999994924874e-06,2.9095499515533447,0.0,0.0
29,1.8450000425218605e-06,3.007349967956543,0.0,0.0
30,1.9049999764320091e-06,3.105149984359741,0.0,0.0
31,1.9640824575617444e-06,3.2014544010162354,0.0,0.0
32,2.044082521024393e-06,3.3318545818328857,0.0,0.0
33,2.1040825686213793e-06,3.429654598236084,0.0,0.0
34,2.1640826162183657e-06,3.5274546146392822,0.0,0.0
35,2.224082663815352e-06,3.6252546310424805,0.0,0.0
36,2.284082484038663e-06,3.7230544090270996,0.0,0.0
37,2.3440825316356495e-06,3.820854425430298,0.0,0.0
38,2.404082579232636e-06,3.918654680252075,0.0,0.0
39,2.4640826268296223e-06,4.016454696655273,0.0,0.0
40,2.5212098080373835e-06,4.109571933746338,0.0,0.0
41,2.5941455987776862e-06,4.228457450866699,0.0,0.0
42,2.6541456463746727e-06,4.326257228851318,0.0,0.0
43,2.714145693971659e-06,4.424057483673096,0.0,0.0
44,2.7741457415686455e-06,4.521857738494873,0.0,0.0
45,2.8341455617919564e-06,4.619657039642334,0.0,0.0
46,2.894145609388943e-06,4.717457294464111,0.0,0.0
47,2.9531177005992504e-06,4.813581943511963,0.0,0.0
48,3.013117748196237e-06,4.911381721496582,0.0,0.0
49,3.073117795793223e-06,5.009181976318359,0.0,0.0
50,3.131235416731215e-06,5.1039137840271,0.0,0.0
51,3.203603000656585e-06,5.221872806549072,0.0,0.0
52,3.2550190098845633e-06,5.305680751800537,0.0,0.0
53,3.331737161715864e-06,5.430731773376465,0.0,0.0
54,3.3917372093128506e-06,5.528531551361084,0.0,0.0
55,3.4374722872598795e-06,5.603079795837402,0.0,0.0
56,3.504314690871979e-06,5.712032794952393,0.0,0.0
57,3.566670102372882e-06,5.813672065734863,0.0,0.0
58,3.6343446936371038e-06,5.923981666564941,0.0,0.0
59,3.6858123166894075e-06,6.007874011993408,0.0,0.0
60,3.7429301755764754e-06,6.10097599029541,0.0,0.0
61,3.8103000861156033e-06,6.210789203643799,0.0,0.0
62,3.878837105730781e-06,6.32250452041626,0.0,0.0
63,3.942394414480077e-06,6.426103115081787,0.0,0.0
64,3.991468929598341e-06,6.506094455718994,0.0,0.0
65,4.05242735723732e-06,6.605456829071045,0.0,0.0
66,4.112094757147133e-06,6.702714443206787,0.0,0.0
67,4.176128186372807e-06,6.807088851928711,0.0,0.0
68,4.23779101765831e-06,6.907599449157715,0.0,0.0
69,4.2967540139216e-06,7.003708839416504,0.0,0.0
70,4.359417289379053e-06,7.1058502197265625,0.0,0.0
71,4.422033271112014e-06,7.207914352416992,0.0,0.0
72,4.487615115067456e-06,7.314812660217285,0.0,0.0
73,4.554458428174257e-06,7.42376708984375,0.0,0.0
74,4.610019004758215e-06,7.514330863952637,0.0,0.0
75,4.671856913773809e-06,7.615126609802246,0.0,0.0
76,4.7336034185718745e-06,7.715773582458496,0.0,0.0
77,4.7916287257976364e-06,7.810354709625244,0.0,0.0
78,4.854011876886943e-06,7.912039279937744,0.0,0.0
79,4.914189503324451e-06,8.01012897491455,0.0,0.0
80,4.969762358086882e-06,8.100712776184082,0.0,0.0
81,5.035389676777413e-06,8.207685470581055,0.0,0.0
82,5.102154318592511e-06,8.316511154174805,0.0,0.0
83,5.169135874893982e-06,8.425691604614258,0.0,0.0
84,5.222444087848999e-06,8.51258373260498,0.0,0.0
85,5.276789124764036e-06,8.601166725158691,0.0,0.0
86,5.341877113096416e-06,8.707260131835938,0.0,0.0
87,5.402624083217233e-06,8.80627727508545,0.0,0.0
88,5.46120054423227e-06,8.90175724029541,0.0,0.0
89,5.525042979570571e-06,9.005820274353027,0.0,0.0
90,5.589665306615643e-06,9.111154556274414,0.0,0.0
91,5.650631919706939e-06,9.210530281066895,0.0,0.0
92,5.705956937163137e-06,9.30070972442627,4.911999947071001e-14,8.60854717475861e-09
93,5.766705726273358e-06,9.399730682373047,8.004989403544784e-09,0.0013881390491409524
94,5.784064342151396e-06,9.428025245666504,1.1565454827404795e-08,0.0019995377200632933
95,5.8321784308645874e-06,9.506450653076172,1.509423761273904e-08,0.0025880959904893384
96,5.893303750781342e-06,9.606084823608398,1.509423761273904e-08,0.0025612522705516115
97,5.951907496637432e-06,9.70160961151123,1.6079040426118563e-08,0.002701493669920529
98,6.0176726037752815e-06,9.808806419372559,1.718418586666091e-08,0.0028556199378278143
99,6.086298526497558e-06,9.920666694641113,2.2502901030907363e-08,0.0036973048451267735
100,6.13728570897365e-06,10.003775596618652,2.9416434829036068e-08,0.004793069155314823
101,6.197686161613092e-06,10.102228164672852,3.3500294002434436e-08,0.005405290479199612
102,6.260882400965784e-06,10.205238342285156,4.349450179013953e-08,0.006947024237898192
103,6.319455224002013e-06,10.300711631774902,5.7411911083365624e-08,0.00908494625696668
104,6.386975201166933e-06,10.41076946258545,6.41917312400134e-08,0.010050411848833426
105,6.450924047385342e-06,10.515006065368652,8.161573446033952e-08,0.012651789706533535
106,6.508309525088407e-06,10.60854434967041,1.0871611089395213e-07,0.016704201064019826
107,6.564732757396996e-06,10.700514793395996,1.3212010197528206e-07,0.020125739593346285
108,6.626798494835384e-06,10.801681518554688,1.5931330144174838e-07,0.024040764415261713
109,6.696564469166333e-06,10.915400505065918,1.9503544172437134e-07,0.02912470157233499
110,6.754132755304454e-06,11.009236335754395,2.1504145861296354e-07,0.03183850042687978
111,6.816641871409956e-06,11.111125946044922,2.2129944207118125e-07,0.03246458391768315
112,6.881850822537672e-06,11.217416763305664,2.2332626611994332e-07,0.03245148316620907
113,6.938865226402413e-06,11.31035041809082,2.3369074249539766e-07,0.033678524495072096
114,7.003753125900403e-06,11.416117668151855,2.6153360743238067e-07,0.03734192264219163
115,7.068441391311353e-06,11.521559715270996,2.847048730163828e-07,0.040278309920818864
116,7.1166955422086176e-06,11.600214004516602,2.97890989697303e-07,0.04185804885575512
117,7.181647106335731e-06,11.706085205078125,3.2782844909134057e-07,0.04564808660705795
118,7.241751973197097e-06,11.804056167602539,3.61437396882558e-07,0.04991021485136424
119,7.304816335818032e-06,11.906850814819336,4.189299131374933e-07,0.057349821525742625
120,7.363097211054992e-06,12.001848220825195,4.846798815106222e-07,0.06582554428086612
121,7.425648618664127e-06,12.10380744934082,5.324805618300497e-07,0.07170828962895943
122,7.48544425732689e-06,12.201273918151855,5.669217658026487e-07,0.07573655568241462
123,7.547238055849448e-06,12.301998138427734,6.15763739950103e-07,0.08158795779243487
124,7.621111763000954e-06,12.422411918640137,6.893664631881953e-07,0.09045484236761074
125,7.66863286116859e-06,12.499871253967285,7.28858472483964e-07,0.09504412138109536
126,7.684114279982168e-06,12.525106430053711,7.392373305909402e-07,0.0962033233311902
127,7.742341040284373e-06,12.620016098022461,7.864436435110794e-07,0.10157698290725174
128,7.802323125361e-06,12.71778678894043,8.583304889466097e-07,0.11000960549258158
129,7.855962394387461e-06,12.805218696594238,9.41852221786755e-07,0.11989011333094503
130,7.927984370326158e-06,12.922614097595215,1.052327422842038e-06,0.13273580946763966
131,7.982917850313243e-06,13.01215648651123,1.1275843846645025e-06,0.14124965404977294
132,8.047205483308062e-06,13.116945266723633,1.2091148987144406e-06,0.15025276802269438
133,8.104190783342347e-06,13.209831237792969,1.2819947899861384e-06,0.15818911773661573
134,8.159397111739963e-06,13.299817085266113,1.3554900594864458e-06,0.16612625184477536
135,8.175012226274703e-06,13.32526969909668,1.3749995086087792e-06,0.16819540699761829
136,8.224965313274879e-06,13.406693458557129,1.4335349236881966e-06,0.17429069535095895
137,8.295936822833028e-06,13.522377014160156,1.5190121999342122e-06,0.18310315427588755
138,8.348018127435353e-06,13.607269287109375,1.5836760031408765e-06,0.1897068236994123
139,8.405304470215924e-06,13.70064640045166,1.6426583294776845e-06,0.19543115128053015
140,8.467059160466306e-06,13.80130672454834,1.6974475402336258e-06,0.20047663634608906
141,8.542108844267204e-06,13.923637390136719,1.7787404934060335e-06,0.20823200989762441
142,8.593573511461727e-06,14.007524490356445,1.856048866815618e-06,0.2159810309808955
143,8.651966709294356e-06,14.102705955505371,1.961817866300912e-06,0.22674819867180412
144,8.71350675879512e-06,14.20301628112793,2.066622621451974e-06,0.23717461622050098
145,8.776990398473572e-06,14.30649471282959,2.1720418754733234e-06,0.24747000701414332
146,8.838903340802062e-06,14.4074125289917,2.2668497536967723e-06,0.25646278348045304
147,8.904961759981234e-06,14.515088081359863,2.355945800914996e-06,0.26456551576701676
148,8.958000762504525e-06,14.601541519165039,2.4380133945457e-06,0.2721604361489323
149,9.021294317790307e-06,14.704710006713867,2.544062084767631e-06,0.28200632804437514
150,9.08444508240791e-06,14.807645797729492,2.6689886270755885e-06,0.2937976511349167
151,9.147504897555336e-06,14.910432815551758,2.811442344916741e-06,0.3073452680706513
152,9.20516140467953e-06,15.004412651062012,2.93125629186616e-06,0.3184361645604637
153,9.270180271414574e-06,15.110393524169922,3.0653010861228478e-06,0.3306625110166386
154,9.332450645160861e-06,15.211894989013672,3.216863836745495e-06,0.3446965817508534
155,9.397879694006406e-06,15.318543434143066,3.393434910847098e-06,0.36108516190213585
156,9.460764886171091e-06,15.42104721069336,3.555754547852596e-06,0.3758421851334751
157,9.510884410701692e-06,15.502741813659668,3.6774107172354548e-06,0.3866528661727415
158,9.57451447902713e-06,15.60645866394043,3.844088752619835e-06,0.40149176869910946
159,9.63506772677647e-06,15.705160140991211,3.997613157843319e-06,0.41490244502731377
160,9.699083420855459e-06,15.8095064163208,4.140305908644054e-06,0.4268759973485081
161,9.758573469298426e-06,15.906475067138672,4.294549888444542e-06,0.4400796798789988
162,9.823009349929634e-06,16.011505126953125,4.483417406440784e-06,0.4564199469557565
163,9.886621228361037e-06,16.115192413330078,4.655008146260559e-06,0.47083913085565304
164,9.94797665043734e-06,16.21520233154297,4.807233336989734e-06,0.48323729597600085
165,9.999915164371487e-06,16.299861907958984,4.935027936545683e-06,0.4935069803520537
166,1.001103828457417e-05,16.3179931640625,4.962378314704584e-06,0.49569067399842276
167,1.0062220098916441e-05,16.401418685913086,5.084243479393487e-06,0.505280487746535
168,1.0129806469194591e-05,16.511585235595703,5.222693133366985e-06,0.5155767930265538
169,1.0186442523263395e-05,16.603900909423828,5.337133008036344e-06,0.5239447428135594
170,1.024798348225886e-05,16.704212188720703,5.515187076058686e-06,0.538172908417201
171,1.0310382094758097e-05,16.805923461914062,5.759568658726163e-06,0.5586183524327761
172,1.0369552910560742e-05,16.90237045288086,6.011561084088969e-06,0.5797319456238629
173,1.0430403563077562e-05,17.001558303833008,6.245212314002311e-06,0.5987507843042287
174,1.0499698873900343e-05,17.11450958251953,6.482022742113679e-06,0.6173532041215378
175,1.055421307682991e-05,17.203367233276367,6.6644398375043485e-06,0.631448293585721
176,1.0617166481097229e-05,17.305980682373047,6.885043395888846e-06,0.6484821923200467
177,1.0677760656108148e-05,17.404748916625977,7.134291418772182e-06,0.6681449087071505
178,1.07510422822088e-05,17.524198532104492,7.470762334078345e-06,0.6948872619021528
179,1.0803773875522893e-05,17.610151290893555,7.69015917966964e-06,0.7118030484785061
180,1.0862814633583184e-05,17.706388473510742,7.889662756445514e-06,0.7263000449307168
181,1.0927697076112963e-05,17.81214714050293,8.097194933681502e-06,0.740979080705055
182,1.0986205779772718e-05,17.907514572143555,8.303450057382319e-06,0.7558068931013688
183,1.1044518032576889e-05,18.0025634765625,8.521244902407197e-06,0.7715361482749133
184,1.1106428246421274e-05,18.103477478027344,8.745529792126515e-06,0.7874295496344209
185,1.1170164725626819e-05,18.207368850708008,8.988353527912036e-06,0.80467510987468
186,1.1237789294682443e-05,18.317596435546875,9.25941805244281e-06,0.8239536985111682
